"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"musl","1.2.0","MIT","COPYRIGHT","musl-1.2.0.tar.gz","http://www.musl-libc.org/releases","linux-headers [GPL-2.0] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"linux-headers","5.4.61","GPL-2.0","","linux-5.4.61.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v5.x","skeleton-init-common [unknown] skeleton-init-none [unknown]"
"gdb","8.2.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-8.2.1.tar.xz","http://ftp.gnu.org/pub/gnu/gdb","linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"ncurses","6.1","MIT with advertising clause","COPYING","ncurses-6.1.tar.gz","http://ftp.gnu.org/pub/gnu/ncurses","linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"buildroot","2020.08-14-ge5a2a90","GPL-2.0+","COPYING","not saved","not saved",""
"gcc-final","10.2.0","unknown","","gcc-10.2.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-10.2.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gcc-initial [unknown] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"binutils","2.34","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.34.tar.xz","http://ftp.gnu.org/pub/gnu/binutils","host-skeleton [unknown]"
"gmp","6.1.2","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.1.2.tar.xz","http://ftp.gnu.org/pub/gnu/gmp","host-m4 [GPL-3.0+] host-skeleton [unknown]"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftp.gnu.org/pub/gnu/m4","host-skeleton [unknown]"
"mpc","1.1.0","LGPL-3.0+","COPYING.LESSER","mpc-1.1.0.tar.gz","http://ftp.gnu.org/pub/gnu/mpc","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"mpfr","4.0.2","LGPL-3.0+","COPYING.LESSER","mpfr-4.0.2.tar.xz","http://www.mpfr.org/mpfr-4.0.2","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"gcc-initial","10.2.0","unknown","","gcc-10.2.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-10.2.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"ncurses","6.1","MIT with advertising clause","COPYING","ncurses-6.1.tar.gz","http://ftp.gnu.org/pub/gnu/ncurses","host-skeleton [unknown]"
"patchelf","0.9","GPL-3.0+","COPYING","patchelf-0.9.tar.bz2","https://nixos.org/releases/patchelf/patchelf-0.9","host-skeleton [unknown]"
